Bremen  609200  615100  614721  635373  632806  632609  641913  627413  538000  0    
Bremerhaven  147300  147700  146697  150702  149653  149960  151713  147594  107000  0    
Brescia  0  0  0  0  0  221577  217232  222689  0  0    
Brest  168154  168537  169163  169337  169719  169857  170771  171840  0  0    
Brighton_and_Hove  0  0  236700  246600  245300  245200  0  0  0  0    
Brindisi  0  0  0  0  0  59926  58598  53792  0  0    
Bristol  0  0  498800  498100  517900  519300  0  0  0  0    
Brno  0  0  0  0  0  0  0  0  0  0    
Brugge  0  0  102112  102660  104180  104277  105340  0  111005  0    
Bruxelles/Brussel/Leuven  0  0  1096722  1106147  1162400  1147894  1173869  0  1496241  0    
Bucuresti  0  0  0  0  0  0  0  0  0  0    
Budapest  0  0  0  1518076  0  0  0  0  0  1643077    
Bulgaria  0  0  2966784  2906907  2978393  2936816  0  0  0  0    
Burgas  0  0  118278  117430  119527  117829  118196  115991  118790  0    
Burgos  99219  99503  97787  98971  94664  98117  95713  94651  95731  97009    
Burnley  0  0  85400  90400  87400  83200  0  0  0  0    
Bursa  0  0  0  0  0  0  0  0  0  0    
Buzau  0  0  0  0  0  0  0  0  0  0    
Bydgoszcz  0  0  0  0  0  0  0  0  0  0    
Bârlad  0  0  0  0  0  0  0  0  0  0    
Békéscsaba  0  0  0  52627  0  0  0  0  0  53592    
Béziers  76760  77640  77880  78167  78742  79205  80018  80485  0  0    
Caen  215273  215940  216388  216868  217296  217486  218759  221151  0  0    
Cagliari  0  0  0  0  0  210838  211355  206556  0  0    
Calais  65982  65583  65363  65070  64643  64470  64307  64445  0  0    
Calarasi  0  0  0  0  0  0  0  0  0  0    
Cambridge  0  0  206700  208800  197800  203400  0  0  0  0    
Campobasso  0  0  0  0  0  40825  40576  38563  0  0    
Cannes-Antibes  182041  181205  180284  180008  179448  178685  180145  180340  0  0    
Cardiff  0  0  440600  438100  450300  468000  0  0  0  0    
Carpi  0  0  0  0  0  42799  41083  40695  0  0    
Cartagena  115217  115316  112825  112259  110685  111242  111487  110933  113549  113247    
Caserta  0  0  0  0  0  44238  42913  41662  0  0    
Castellón_de_la_Plana/Castelló_de_la_Plana  120870  118644  116071  114092  113407  114679  113661  113836  115686  115746    
Catania  0  0  0  0  0  236393  229842  233078  0  0    
Catanzaro  0  0  0  0  0  60849  60837  58266  0  0    
Cayenne  55297  57722  59865  62132  62612  63868  65557  67309  0  0    
Celle  84000  83800  84387  84813  85249  84609  85464  83753  90000  0    
Cerignola  0  0  0  0  0  20295  19918  21494  0  0    
