Country_Name  Country_Code  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Etiopía  ETH  44510242  46088892  47702127  49378714  51103465  52819443  54535675  55819516  58059357  60026672
Unión_Europea  EUU  213075412  213766443  214073147  215305164  216450258  217132627  217958466  215140769  216560573  219725645
Frágiles_y_situaciones_de_conflicto_afectados  FCS  300699969  308030273  315941814  323650378  331140051  339704672  347354206  350161868  326676251  317854218
Finlandia  FIN  2686349  2690277  2699822  2694829  2716261  2749812  2758855  2751071  2774226  2822714
Fiji  FJI  382931  375549  372681  369664  370220  370965  372229  367253  370522  376303
Francia  FRA  30432523  30411865  30494746  30508008  30547530  30691326  30652293  30379167  31271173  31666462
Gabón  GAB  581923  602234  621349  640490  658145  675085  691827  674538  698691  725373
Reino_Unido  GBR  33061439  33331376  33614102  33939706  34128763  34415434  34695933  34633314  34311328  34460381
Georgia  GEO  2027705  2039516  2065655  2046196  1971577  1895181  1856196  1866753  1867509  1864158
Ghana  GHA  11743140  11979984  12224092  12541819  12868929  13192289  13516316  13734537  14140200  14530533
Guinea  GIN  3545237  3605101  3668093  3732312  3795285  3858186  3923389  4004061  4113877  4242742
Gambia  GMB  685019  711111  737921  765643  794311  824123  850208  869941  907836  947408
Guinea-Bissau  GNB  542604  558485  574824  591864  609440  627598  646165  659378  680465  705133
Guinea_Ecuatorial  GNQ  427253  444352  461249  478114  494535  511120  528292  527811  545179  566927
Grecia  GRC  4867433  4812543  4788983  4774947  4753621  4727112  4735273  4643796  4574730  4638567
Guatemala  GTM  5682211  5883588  6022488  6184488  6364813  6472399  6481136  6403877  6642741  6884303
Guam  GUM  76377  76670  76900  77068  77194  77282  77360  77087  78201  78896
Guyana  GUY  285029  286708  288326  289827  291179  301413  284892  281272  286857  289264
Ingreso_alto  HIC  598315888  602733849  606855527  613090873  618055671  623662726  629701646  624182836  626864498  635698070
Hong_Kong,_Región_Administrativa_Especial  HKG  3880979  3899441  3940825  3956680  3978306  4008835  3992610  3910149  3866026  3814661
Honduras  HND  3613486  3810624  3919626  3983810  4161688  4431793  4399023  4206572  4428040  4610868
Croacia  HRV  1844972  1896011  1896675  1835203  1824724  1794304  1781597  1772376  1724587  1727782
Haití  HTI  4396857  4492198  4583225  4673964  4764708  4852965  4930691  4969248  5059273  5160154
Hungría  HUN  4393129  4508047  4587119  4651601  4688293  4720978  4748584  4724407  4920977  4926012
Sólo_BIRF  IBD  2117782243  2129308905  2141898152  2151441767  2158335718  2166391163  2202178372  2146063858  2207811394  2150043693
BIRF_y_la_AIF  IBT  2666463690  2690186036  2718232888  2742161335  2766321950  2790479074  2844206373  2797573893  2848893821  2812392493
total_de_la_AIF  IDA  548681447  560877131  576334736  590719568  607986233  624087911  642028000  651510035  641082427  662348799
mezcla_de_la_AIF  IDB  169664454  173363370  179146365  183238736  187597119  192241574  198385416  201412365  209477740  216066899
Indonesia  IDN  122963171  124478015  126141821  127339757  129760147  133327293  136201932  136106881  134381715  137260837
India  IND  476574166  476778623  476681505  476439285  475894660  474730667  501044031  496925540  507704858  523839158
Irlanda  IRL  2247873  2258498  2285833  2330010  2354153  2397838  2446760  2432234  2551560  2702125
Irán,_República_Islámica_del  IRN  24633773  24780719  25883066  27040336  28100798  28610021  28702961  27169143  28071271  28819421
Iraq  IRQ  8827667  9385898  9709072  10025430  10020634  10390616  10698395  10663335  10683686  11183808
Islandia  ISL  192997  198891  203751  209633  213259  217130  220983  218866  222391  234563
Israel  ISR  3694723  3795478  3859942  3933469  3998508  4073299  4125006  4086174  4234581  4373947
Italia  ITA  25287655  25689865  25654398  25932536  26103399  26164164  25907430  25126337  25087249  25517954
Jamaica  JAM  1299092  1331653  1409375  1408534  1436161  1443443  1487233  1453541  1516188  1572790
Jordania  JOR  1842302  2038462  2321528  2533543  2698786  2707735  2791809  2922682  2973993  3041209
Japón  JPN  65768575  65973877  66061546  66669411  67225084  68386819  69045531  68953988  68858892  68931322
Kazajstán  KAZ  8913429  8968071  9019041  9066824  9113763  9164074  9226063  9183306  9293787  9632385
Kenya  KEN  19107609  19718332  20338656  20989035  21588086  22178699  22775099  23230574  24116304  24985164
Kirguistán  KGZ  2444726  2474044  2509481  2509364  2482868  2464123  2559835  2560164  2626986  2718702
Camboya  KHM  7112623  7368200  7620595  7874603  8131979  8386085  8636531  8690980  8888364  9020278
Corea,_República_de  KOR  26634430  27387622  27788180  28041851  28349693  28513895  28808833  28597159  28758924  29203428
Kuwait  KWT  2029027  2112205  2228983  2324359  2370772  2494812  2567847  2411352  2359211  2419833
América_Latina_y_el_Caribe_(excluido_altos_ingresos)  LAC  256327401  259715445  264238523  267766800  272906238  278244393  283731568  267090169  281944881  288466631
República_Democrática_Popular_Lao  LAO  2630471  2680173  2729994  2779720  2829303  2879155  2930353  2960297  3020830  3073466
Líbano  LBN  1970051  2204614  2262668  2213003  2160129  2104271  2045681  1822235  1859385  1866554
Liberia  LBR  1956429  1995184  2037700  2082707  2126460  2173066  2223648  2262189  2336292  2415635
Libia  LBY  1939322  1982523  2018648  2056168  2099015  2146212  2192471  2159483  2252161  2318929
Santa_Lucía  LCA  94186  95713  97227  98682  100030  101390  100650  97026  100578  102432
América_Latina_y_el_Caribe  LCN  283949465  287664562  292388524  296085350  301202927  306167121  310686254  292411384  307840628  315167375
Países_menos_desarrollados:_clasificación_de_las_Naciones_Unidas  LDC  344734050  353392935  362856440  372765783  385080087  396096166  407047979  413433992  393541498  407188294
Países_de_ingreso_bajo  LIC  206939756  212040600  217927762  224214406  230912381  237545381  245101464  249569904  249392348  258462595
Sri_Lanka  LKA  8468540  8443123  8589975  8660411  8764804  8491355  8666096  8620501  8826287  8714653
Países_de_ingreso_mediano_bajo  LMC  1051534436  1062210694  1074925306  1086516320  1097545329  1108047242  1147552449  1141640025  1147850832  1162357430
Ingreso_mediano_y_bajo  LMY  2632197975  2655580181  2683832868  2707936199  2732117570  2756942085  2811909378  2766387749  2818126130  2781332363
Lesotho  LSO  873464  883375  893639  905650  918437  931944  945597  950985  963885  979357
Lituania  LTU  1465316  1476890  1468508  1476945  1460791  1467697  1475085  1486169  1479760  1508865
Luxemburgo  LUX  268091  278241  285050  286784  296430  305430  315771  322041  333257  338428
Letonia  LVA  1021195  1006638  1009906  1004171  999649  1000243  988868  988585  956869  969369
Región_Administrativa_Especial_de_Macao,_China  MAC  365781  374705  378525  379880  385238  392773  396668  391720  405077  408097
Marruecos  MAR  11708832  11827998  11854873  11796246  11696824  11843454  11992891  11624123  12285624  12532590
República_de_Moldova  MDA  973951  1016335  1031891  1021468  984636  943903  906622  853714  855780  853731
Madagascar  MDG  11791420  12174101  12558421  12936283  13323243  13718779  14122746  14413268  14925441  15498528
Maldivas  MDV  170346  181104  193444  205847  221221  236538  250805  242481  255366  260527
Oriente_Medio_y_Norte_de_África  MEA  138505763  140340089  143632600  147261233  148792034  150920510  153408808  151063791  154105771  158641908
México  MEX  51144538  51654365  52690172  53525389  54238561  55360235  56818605  53127554  56993986  58701105
Macedonia_del_Norte  MKD  950678  956007  950250  945205  952947  957679  965045  946571  938072  940107
Malí  MLI  6247137  6436912  6630544  6779839  6940330  7172737  7412716  7330108  7704564  8054389
Malta  MLT  196571  205532  212910  222635  233766  250448  265572  275724  281266  293012
Myanmar  MMR  24068096  24259519  24454335  24239329  24004375  24412306  23943305  24060818  0  0
Oriente_Medio_y_Norte_de_África_(excluido_altos_ingresos)  MNA  109751310  110654208  112888161  115403312  116563375  117738045  119083084  116721330  120102243  123973366
Montenegro  MNE  252989  266788  272361  276767  277876  284888  292048  271119  280642  286042
Mongolia  MNG  1210993  1241618  1254113  1248388  1282474  1296309  1388801  1359751  1327149  1363210
Mozambique  MOZ  10991654  11326670  11678215  12099183  12528448  12940849  13355546  13667434  14119252  14614366
Mauritania  MRT  901566  917505  934016  951251  969240  998453  1029009  1052229  1085402  1129487
Mauricio  MUS  590490  597842  606421  603463  610015  607684  616374  609577  614280  618531
Malawi  MWI  6139893  6251150  6368179  6490270  6618516  6846058  7086643  7444101  7647743  7922748
Malasia  MYS  14298855  14684103  15044590  15326694  15658001  16042325  16435372  16626593  16915825  17309921
América_del_Norte  NAC  178332155  179126896  180334810  182326268  184116512  185651118  187858947  186112720  187150333  190574164
Namibia  NAM  862767  867194  881284  895063  899482  903161  918680  923666  943756  963465
Nueva_Caledonia  NCL  127142  129509  128247  126568  124736  122671  120317  120505  119801  119200
Níger  NER  7172557  7242882  7529280  7834020  8143525  8460067  8787355  9040992  9400199  9847769
Nigeria  NGA  53710834  55758900  57867585  60073638  62423461  64865190  67373496  68632664  70620043  73272344
Nicaragua  NIC  2652874  2722579  2784515  2846078  2907998  2954512  2999937  3002671  3131250  3225204
Países_Bajos  NLD  9054383  9031991  9095975  9128587  9194515  9309225  9466453  9502134  9653277  9894531
Noruega  NOR  2700082  2724239  2762042  2769692  2760886  2796121  2825244  2832047  2908555  2980047
Nepal  NPL  7150291  7213832  7297557  7458894  7643767  7829353  8017497  8164427  8412242  8700518
Nueva_Zelandia  NZL  2394722  2474895  2535320  2643213  2740052  2794877  2834605  2893601  2934828  2955087
Miembros_OCDE  OED  641668994  646544218  652031651  659222702  665948333  672986920  680031027  667692245  678243972  689220337
Omán  OMN  2003105  2140011  2259888  2403188  2487472  2492464  2441558  2203911  2165903  2243287
Otros_Estados_pequeos  OSS  11820693  12186315  12594731  12979393  13324453  13610272  13866940  13780931  14013290  14364796
Pakistán  PAK  64802508  65271548  67587826  68081288  68740238  69627363  71922561  72839474  76944640  78909456
Panamá  PAN  1744928  1778532  1813736  1859078  1885561  1966334  2041466  1986360  2064539  2148792
Perú  PER  16618192  16683502  16688971  16861950  17556265  18029865  18527166  16830784  17866091  18156333
Filipinas  PHL  40789298  42179845  42622144  43756699  42974771  43800369  45091808  42419079  44857443  46990319
Papua_Nueva_Guinea  PNG  2500828  2556332  2625194  2696576  2772507  2857304  2929298  2979848  3064337  3139424
Polonia  POL  18287361  18392967  18332404  18371736  18432689  18388899  18327422  18245536  18519217  18219393
previa_al_dividendo_demográfico  PRE  284659665  293388041  302732458  312868892  322270025  333141362  344525802  350081980  353211402  366985877
Puerto_Rico  PRI  1187213  1173302  1158495  1147690  1126376  1102879  1119726  1135289  1135130  1141910
Corea,_República_Popular_Democrática_de  PRK  14826136  14955822  15103002  15192825  15349118  15501981  15597969  15386133  15674545  15831330
Portugal  PRT  5289169  5231791  5204013  5187357  5226891  5242420  5264058  5166305  5190888  5305069
Paraguay  PRY  2881571  2860692  2916241  3061166  3127278  3257519  3336159  3285517  3422166  3428200
Ribera_Occidental_y_Gaza  PSE  1001101  1038552  1114682  1140063  1173389  1191792  1249457  1190164  1299412  1374105
Estados_pequeos_de_las_Islas_del_Pacfico  PSS  887739  891643  900272  907998  919997  933138  947598  951280  973557  994178
posterior_al_dividendo_demográfico  PST  545185883  548072422  550935977  555756225  559813882  564018839  568631009  562822399  565349230  552738405
Polinesia_Francesa  PYF  122179  123435  124850  126252  127752  129318  130820  131173  133239  134860
Qatar  QAT  1498732  1645653  1816808  1960463  2045789  2081887  2095831  2047230  1990119  2003258
Rumania  ROU  9175559  9205404  9108577  8915255  9055160  8999055  8972261  8908333  8200518  8344104
Federación_de_Rusia  RUS  75613136  75425759  75122849  75182854  74610600  74501321  73598523  73064922  73716244  0
Rwanda  RWA  3940991  4042993  4152626  4270829  4399260  4025709  4085693  4544104  4588673  4654245
Asia_meridional  SAS  625171783  627411747  631333364  633274254  638038563  639638395  670508999  667197351  675059341  695260607
Arabia_Saudita  SAU  12635859  12977992  13441489  13967604  13926541  14523667  15485557  15995144  15683138  15913705
Sudán  SDN  10132798  10418702  10774109  11140746  11538557  11946018  12330619  12586600  13042838  13501917
Senegal  SEN  3585375  3646878  3713527  4215630  3989175  4408782  4679043  4782834  4998197  5198745
Singapur  SGP  3244474  3339133  3437533  3480133  3474178  3471429  3527441  3511798  3418165  3492851
Islas_Salomón  SLB  289781  298221  306843  314911  323217  331935  341348  347558  360083  368842
Sierra_Leona  SLE  2318440  2351170  2391699  2433870  2476830  2518499  2590562  2642553  2713620  2800724
El_Salvador  SLV  2630753  2617260  2618193  2673318  2687119  2694155  2762085  2591073  2703446  2782179
Somalia  SOM  2302356  2382046  2461594  2554704  2656655  2755473  2858312  2935354  3048519  3158162
Serbia  SRB  3157875  3171544  3135688  3229602  3256850  3275646  3272110  3218733  3281894  3219836
África_al_sur_del_Sahara_(excluido_altos_ingresos)  SSA  358839923  369025058  381027064  393204172  405010885  417003551  430412786  437699034  453608449  470290988
Sudán_del_Sur  SSD  4570977  4555121  4476942  4349754  4067431  3902701  3953250  4040216  4177392  4345169
África_al_sur_del_Sahara  SSF  358839923  369025058  381027064  393204172  405010885  417003551  430412786  437699034  453608449  470290988
Pequeños_Estados  SST  15860680  16289608  16792408  17203558  17604628  17949367  18238960  18070642  18414730  18877721
Santo_Tomé_y_Príncipe  STP  61044  62135  63262  64444  65686  66970  68314  69514  71689  73999
Suriname  SUR  217561  223039  228664  234453  238162  242607  246509  238549  245522  251639
República_Eslovaca  SVK  2717026  2723429  2739138  2759104  2754225  2746014  2741604  2712322  2777251  2826275
Eslovenia  SVN  1006860  1013694  1006923  993963  1025695  1035092  1028559  1029744  1045561  1062047
Suecia  SWE  5088630  5132084  5177181  5244040  5331161  5396547  5456623  5462300  5514678  5600661
Eswatini  SWZ  356218  359677  363786  367503  371799  376506  381377  383976  389933  396163
República_Árabe_Siria  SYR  5784150  5262250  4981954  4965564  5061694  5292774  5690125  5903729  6254514  6723714
Chad  TCD  4266330  4393752  4495591  4600694  4725553  4858714  5027534  5151952  5334220  5541115
Asia_oriental_y_el_Pacífico_(BIRF_y_la_AIF)  TEA  1089167225  1094853212  1099301689  1101819857  1102326350  1106222702  1110198501  1083111607  1089734324  1097758452
Europa_y_Asia_central_(BIRF_y_la_AIF)  TEC  207422089  208459072  209278721  210397172  211235614  211775275  211457751  208108369  210446668  118042268
Togo  TGO  2418804  2482804  2548478  2616080  2685319  2755854  2827220  2878677  2978692  3082660
Tailandia  THA  40085032  40209226  40201742  39942542  39798925  40229448  39952396  40206906  40332578  40237746
Tayikistán  TJK  2190056  2239463  2290338  2343422  2373588  2401162  2430291  2461642  2552335  2613107
Turkmenistán  TKM  1859757  1877732  1900211  1922021  1942502  1963049  1983961  1973116  2016704  2047906
América_Latina_y_el_Caribe_(BIRF_y_la_AIF)  TLA  277112462  280821292  285518571  289202630  294320552  299292898  303794709  285926366  301242207  308440917
Timor-Leste  TLS  466967  480415  493419  505198  520089  534337  542136  550913  566950  586337
Oriente_Medio_y_Norte_de_África_(BIRF_y_la_AIF)  TMN  108750209  109615656  111773479  114263249  115389986  116546253  117833627  115531166  118802831  122599261
Tonga  TON  37036  36797  36573  36418  36317  36260  36419  36409  36980  37459
Asia_meridional_(BIRF_y_la_AIF)  TSA  625171783  627411747  631333364  633274254  638038563  639638395  670508999  667197351  675059341  695260607
África_al_sur_del_Sahara_(BIRF_y_la_AIF)  TSS  358839923  369025058  381027064  393204172  405010885  417003551  430412786  437699034  453608449  470290988
Trinidad_y_Tobago  TTO  694768  707968  696897  693991  697929  712761  695102  672932  668306  678100
