TIME  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Brighton_and_Hove  0  0  113600  118600  114800  116000  0  0  0  0
Brindisi  0  0  0  0  0  24974  24524  21824  0  0
Bristol  0  0  234400  234500  245700  249200  0  0  0  0
Brno  0  0  0  0  0  0  0  0  0  0
Brugge  0  0  48590  49192  50110  50015  50560  0  53121  0
Brusseles  0  0  509004  515991  547006  536834  552087  0  704785  0
Bucuresti  0  0  0  0  0  0  0  0  0  0
Budapest  0  0  0  717881  0  0  0  0  0  803642
Bulgaria  0  0  1374054  1333974  1355887  1339422  0  0  0  0
Burgas  0  0  55991  55384  56164  55524  55723  54535  58386  0
Burgos  45451  46156  45128  46385  43980  45781  45251  44812  45643  47231
Burnley  0  0  40400  43200  41900  37300  0  0  0  0
Bursa  0  0  0  0  0  0  0  0  0  0
Buzau  0  0  0  0  0  0  0  0  0  0
Bydgoszcz  0  0  0  0  0  0  0  0  0  0
Barlad  0  0  0  0  0  0  0  0  0  0
Bekescsaba  0  0  0  24411  0  0  0  0  0  25761
Beziers  37096  37807  37985  38201  38637  38876  39281  39557  0  0
Caen  105620  106094  106729  107443  107805  108162  108776  110126  0  0
Cagliari  0  0  0  0  0  93845  94609  92433  0  0
Calais  29980  29869  29863  29717  29680  29672  29603  29740  0  0
Calarasi  0  0  0  0  0  0  0  0  0  0
Cambridge  0  0  96500  95300  95100  98700  0  0  0  0
Campobasso  0  0  0  0  0  17397  17354  16409  0  0
Cannes-Antibes  88933  88695  88750  88778  88635  88396  89191  88893  0  0
Cardiff  0  0  211400  210400  213700  220900  0  0  0  0
Carpi  0  0  0  0  0  18868  17999  17705  0  0
Cartagena  50115  50606  49036  49134  49487  49413  49613  49334  51205  51383
Caserta  0  0  0  0  0  18896  18325  17612  0  0
Castellon_de_la_Plana  55137  54402  53378  52594  52025  53383  52796  53664  54494  54886
Catania  0  0  0  0  0  99694  96662  97935  0  0
Catanzaro  0  0  0  0  0  26100  26173  24946  0  0
Cayenne  27978  29363  30340  31440  31804  32836  33567  34821  0  0
Celle  39400  39300  39879  39704  40188  40082  40466  39868  42000  0
Cerignola  0  0  0  0  0  8118  7910  8651  0  0
Ceske_Budejovice  0  0  0  0  0  0  0  0  0  0
Ceuta  0  0  0  0  0  0  0  17274  18235  18616
Chambery  56573  57281  57651  57889  58431  59157  59706  60583  0  0
Charleroi  0  0  81650  86383  87676  87823  87296  0  95757  0
Chartres  40590  40756  40952  40641  40435  40141  40197  40114  0  0
Chelm  0  0  0  0  0  0  0  0  0  0
Cheltenham  0  0  50000  48800  55800  50900  0  0  0  0
Chemnitz  55700  56500  54816  55307  54502  53408  53991  53032  101000  0
Cherbourg-en-Cotentin  34172  34343  34283  34203  34186  34232  34045  34403  0  0
Cheshire_West_and_Chester  0  0  110200  108000  112600  113700  0  0  0  0
Chiclana_de_la_Frontera  0  0  0  0  0  0  0  17721  19406  19468
Chomutov  0  0  0  0  0  0  0  0  0  0
Ciudad_Real  0  0  23208  22728  22719  23677  23824  22516  23671  23784
Clermont-Ferrand  112528  113413  113975  114632  115080  115969  116731  117504  0  0
Cluj-Napoca  0  0  0  0  0  0  0  0  0  0
Coimbra  0  0  0  0  0  0  0  0  61126  0
Colchester  0  0  74000  66300  75800  77600  0  0  0  0
Colmar  46636  47003  47514  47637  47585  47687  47814  47783  0  0
Como  0  0  0  0  0  36324  35632  33644  0  0
Constanta  0  0  0  0  0  0  0  0  0  0
Cork  0  0  0  0  0  0  0  0  0  0
Cosenza  0  0  0  0  0  33292  32423  32195  0  0
Cottbus  54000  53000  51080  51606  51524  51248  49264  48186  42000  0
Coventry  0  0  153700  154600  171800  183400  0  0  0  0
Craiova  0  0  0  0  0  0  0  0  0  0
Cremona  0  0  0  0  0  25054  24761  23942  0  0
Cuenca  0  0  13536  13396  13297  13851  13875  13138  13559  13850
Cyprus  0  0  0  0  0  0  0  0  0  0
Czech_Republic  0  0  0  0  0  0  0  0  0  0
Czestochowa  0  0  0  0  0  0  0  0  0  0
Caceres  0  0  26689  26283  25975  26688  26614  26217  26261  26754
Cadiz  54935  56308  55177  53534  51915  52824  52500  50726  54208  52998
Cordoba  80252  78553  80318  80443  77686  79471  79387  78047  78473  79004
Darmstadt  104900  103800  106229  107954  108594  108612  110491  107348  109000  0
Daugavpils  0  0  27200  27200  26600  26700  26100  27200  22100  23600
Debrecen  0  0  0  71692  0  0  0  0  0  76940
Denizli  0  0  0  0  0  0  0  0  0  0
Denmark  0  0  0  0  0  0  0  0  0  0
Derby  0  0  111300  114100  112000  115900  0  0  0  0
Dessau-Roblau  20000  19600  19415  19170  18582  17582  17690  17328  26000  0
Deventer  0  30000  30000  28000  0  0  29340  30296  31000  32000
Dijon  95870  96549  97021  96866  97011  96425  96919  97409  0  0
Diyarbakir  0  0  0  0  0  0  0  0  0  0
Dobrich  0  0  21174  20419  20232  20096  20107  19563  18898  0
Douai  40428  40161  40180  40160  40277  40265  40253  40621  0  0
Dresden  318200  319300  317376  314895  314629  311533  317115  309202  229000  0
Drobeta_Turnu_Severin  0  0  0  0  0  0  0  0  0  0
Dublin  0  0  0  0  0  0  0  0  0  0
Dunaujvaros  0  0  0  18557  0  0  0  0  0  19765
Dundee_City  0  0  0  65400  61600  63200  0  0  0  0
Dunkerque  55164  55309  55571  55340  55281  55265  55031  55109  0  0
Duren_Stadt  0  0  0  0  0  0  59834  59499  47000  0
Dusseldorf  347500  350800  353794  362623  362527  364205  367670  365554  352000  0
Ede  0  0  37000  37000  0  0  38369  37261  42000  43000
Edinburgh  0  0  0  216900  236800  236400  0  0  0  0
Edirne  0  0  0  0  0  0  0  0  0  0
Eger  0  0  0  22005  0  0  0  0  0  23671
Eindhoven  0  163000  177000  184000  0  0  188885  193891  197000  200000
Eivissa  0  0  38652  39182  40326  39486  41137  40738  42417  43244
Elblag  0  0  0  0  0  0  0  0  0  0
Elche  58037  58790  59406  61286  61213  60620  61432  58905  61215  64104
Elda  0  0  0  0  0  0  0  18699  19317  19976
Elk  0  0  0  0  0  0  0  0  0  0
Enschede  0  96000  96000  97000  0  0  91301  94798  101000  104000
Erfurt  127200  126500  123756  125282  124178  124151  123777  121649  87000  0
Erlangen  0  0  0  0  0  0  0  0  78000  0
Erzurum  0  0  0  0  0  0  0  0  0  0
Estonia  0  0  333400  335600  338800  340400  0  0  0  0
Exeter  0  0  118000  115000  124900  117000  0  0  0  0
Faro  0  0  0  0  0  0  0  0  29142  0
Ferrara  0  0  0  0  0  44195  46094  45056  0  0
Ferrol  0  0  33363  33196  32128  33250  32568  31360  31651  31798
Finland  0  0  1298455  1296860  1291478  1293541  0  0  0  0
Firenze  0  0  0  0  0  172836  176021  170038  0  0
Flensburg  62700  63200  63291  64186  65520  66180  66972  66911  47000  0
Focsani  0  0  0  0  0  0  0  0  0  0
Foggia  0  0  0  0  0  28311  27002  26930  0  0
Forlì  0  0  0  0  0  36022  35475  35288  0  0
Fort_de_France  92114  92031  91349  90907  90054  89226  88166  87323  0  0
France  14938589  15030553  15107191  15137765  15204525  15223139  15288893  15368426  0  0
Frankfurt_(Oder)  14900  14400  13699  13834  13674  13657  13109  12714  20000  0
Frankfurt_am_Main  606800  603300  614259  626340  629613  631729  646507  633045  648000  0
Freiburg_im_Breisgau  157500  159100  160670  165284  165410  166197  168634  163952  156000  0
Friedrichshafen  51500  52000  52747  53880  54003  54133  55006  53211  41000  0
Frejus  23540  23716  23945  24142  23893  24526  24805  24787  0  0
Fulda  51400  51100  51870  52636  53076  53395  54574  53144  56000  0
Funchal  0  0  0  0  0  0  0  0  49360  0
Galati  0  0  0  0  0  0  0  0  0  0
Galway  0  0  0  0  0  0  0  0  0  0
Gandia  0  0  24953  25123  24707  24644  24563  25225  26057  26188
Gaziantep  0  0  0  0  0  0  0  0  0  0
Gdansk  0  0  0  0  0  0  0  0  0  0
Gela  0  0  0  0  0  9413  8772  8326  0  0
Geneva_crossborder_FUA  0  0  0  213032  215792  220170  245081  247988  0  0
Genova  0  0  0  0  0  137844  138726  135422  0  0
Gent  0  0  128978  131349  97174  117647  141400  0  152574  0
Geneve  0  0  0  133075  134585  137783  135744  137241  136470  0
Gera  47300  46400  44781  44831  43953  43456  42945  41723  27000  0
Germany  19037000  19133900  19218700  19560470  19583530  19598410  0  0  0  0
Gieben  61900  61600  62371  63327  63488  63778  65268  63288  60000  0
Gijon  65035  65866  65302  65174  62647  65647  64484  63644  64073  63200
Girona  0  0  42204  42522  43805  43112  44316  43926  44929  45263
Giurgiu  0  0  0  0  0  0  0  0  0  0
Glasgow  0  0  0  440500  444600  448100  0  0  0  0
Glogow  0  0  0  0  0  0  0  0  0  0
Gniezno  0  0  0  0  0  0  0  0  0  0
Gorzow_Wielkopolski  0  0  0  0  0  0  0  0  0  0
Gouda  0  22000  17000  17000  0  0  18518  19368  20000  20000
Granada  127082  125680  126872  129012  129005  127189  124946  121456  129125  129052
Greece  0  0  0  0  0  0  0  0  0  0
Greifswald  55300  54900  53599  53442  52233  50908  51933  52727  32000  0
Grenoble  164052  164571  165285  164311  164927  165300  165903  166441  0  0
Groningen  0  116000  130000  132000  0  0  134810  133932  145000  148000
Grosseto  0  0  0  0  0  20467  20313  19644  0  0
Grudziadz  0  0  0  0  0  0  0  0  0  0
Guadalajara  0  0  27868  28039  29034  29344  29991  29298  29457  29722
Guildford  0  0  60900  68200  63700  63700  0  0  0  0
Guimaraes  0  0  0  0  0  0  0  0  46408  0
Gyor  0  0  0  56174  0  0  0  0  0  65039
Gorlitz  59400  58700  57774  56826  56331  55060  55639  53869  23000  0
Goteborg  0  0  0  0  250889  255666  0  0  0  0
Gottingen  88700  87900  88848  104545  104873  105030  105265  102761  73000  0
Halle_an_der_Saale  101000  99900  99676  99356  97685  94140  95473  94811  84000  0
Hamburg  772800  784400  792399  800344  816998  821010  836311  821201  888000  0
Hannover  300100  299100  302967  301320  304090  305127  307649  302064  316000  0
Haskovo  0  0  18170  17438  17332  17212  17167  16720  16674  0
Hastings  0  0  39100  40300  38900  42600  0  0  0  0
Hatay  0  0  0  0  0  0  0  0  0  0
Hayange  67474  68234  68367  68603  68869  69446  69985  70741  0  0
Heerlen  0  31000  63000  63000  0  0  61100  58768  66000  66000
Heidelberg  162400  163000  164939  169373  169651  169876  171722  167235  86000  0
